Song Title,Total Streams,Daily Streams
Innocent,51323307,10613
* Gasoline (feat. Taylor Swift),50488102,67540
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),50301617,219687
Today Was A Fairytale (Taylor’s Version),49738292,64174
Eyes Open,49422552,6657
State Of Grace (Acoustic Version) (Taylor's Version),49343352,51463
Never Grow Up (Taylor's Version),49256842,103078
The Best Day (Taylor’s Version),48578381,58495
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),48508052,101825
Hey Stephen,48457298,12449
Forever & Always (Piano Version) (Taylor’s Version),48417821,60606
I'm Only Me When I'm With You,48246745,47066
Ours (Taylor’s Version),46971856,112712
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,45590508,48704
You're Not Sorry,45578626,10616
* The Alcott (feat. Taylor Swift),45254513,131432
The Story Of Us,45149771,12889
The Lucky One,43436858,6380
If This Was A Movie,43129825,11458
Starlight,43093816,7332
exile (feat. Bon Iver) - the long pond studio sessions,43051414,57480
Mary's Song (Oh My My My),42757349,44304
Come Back...Be Here,41945607,7222
Change (Taylor’s Version),41698829,48587
Innocent (Taylor's Version),41469542,78734
Delicate - Seeb Remix,41419458,23526
Ronan (Taylor's Version),41026110,45837
Cold As You,40584325,43555
the lakes - original version,39517878,55933
Sad Beautiful Tragic,39357653,5476
A Place in this World,39207205,42154
The Best Day,39077264,12136
cardigan - cabin in candlelight version,38769311,21039
Come In With The Rain (Taylor’s Version),37985804,47330
Delicate - Recorded at The Tracking Room Nashville,37143055,39655
Death By A Thousand Cuts - Live From Paris,36860948,20507
Superman (Taylor’s Version),35064149,69411
Love Story (Taylor's Version) - Elvira Remix,34284923,16047
Superstar (Taylor’s Version),34154021,40290
willow - dancing witch version (Elvira remix),33987196,34174
Invisible,33176810,33313
Stay Beautiful,33105527,32996
Eyes Open (Taylor's Version),33104228,65166
The Moment I Knew,31732863,3697
Tied Together with a Smile,31567495,33957
Teardrops on My Guitar - Pop Version,31513334,34712
Today Was A Fairytale - US Version,30949614,9249
Tell Me Why,30911086,8471
Last Christmas,30073106,7015
The Outside,28233133,35331
Anti-Hero - Acoustic Version,27106358,29876
Forever & Always - Piano Version,26886858,6040
Change,26569208,7531
Superman,25326116,5530
Jump Then Fall,25096940,6653
...Ready For It? - BloodPop® Remix,24426299,11839
A Perfectly Good Heart,24278760,26557
Anti-Hero - Kungs Remix,23962990,33780
Haunted - Acoustic Version,23685966,10764
State Of Grace - Acoustic,23662128,3173
Daylight - Live From Paris,23350176,27171
Girl At Home,22822264,3147
Lavender Haze - Felix Jaehn Remix,22735281,20500
Lover - First Dance Remix,22588160,18979
Lavender Haze - Acoustic Version,22477989,31339
Untouchable,22324250,7084
cardigan - the long pond studio sessions,21441806,25425
The Man - Live From Paris,20382266,9158
my tears ricochet - the long pond studio sessions,20085710,28262
Cruel Summer - Live from TS | The Eras Tour,20058878,67238
Message In A Bottle (Fat Max G Remix) (Taylor’s Version),19430800,11208
august - the long pond studio sessions,19316479,21684
Anti-Hero (feat. Bleachers),18943314,23484
this is me trying - the long pond studio sessions,18154954,25433
Red - Original Demo Recording,17435415,2926
"Sweeter Than Fiction - From ""One Chance"" Soundtrack",17012155,20465
"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""",16672688,9908
Come In With The Rain,16501786,5171
Treacherous - Original Demo Recording,16466840,2093
the 1 - the long pond studio sessions,16463029,22802
You Need To Calm Down - Clean Bandit Remix,15482165,7724
mirrorball - the long pond studio sessions,15396237,19705
Anti-Hero - ILLENIUM Remix,14782173,15925
The Other Side Of The Door,14734191,5161
illicit affairs - the long pond studio sessions,14234253,21254
willow - lonely witch version,14008145,14895
the lakes - the long pond studio sessions,13793630,20364
SuperStar,13602295,4275
Teardrops On My Guitar - International Mix,13298125,2239
willow - 90's trend remix,13257626,7189
the last great american dynasty - the long pond studio sessions,12542971,17035
All Too Well (10 Minute Version) (The Short Film),12311154,14221
seven - the long pond studio sessions,12194066,16414
* Birch,11996799,13827
* Should've Said No - The 3D Concert Experience,11724589,1556
Cruel Summer - LP Giobbi Remix,11683281,62162
invisible string - the long pond studio sessions,11658687,15814
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,11605773,8466
betty - the long pond studio sessions,11588551,15728
Santa Baby,11530568,2808
Drops Of Jupiter - Live/2011,11513069,7658
Lavender Haze - Snakehips Remix,11509484,16506
* Renegade - Pop Version,11215501,18924
hoax - the long pond studio sessions,10957946,15402
Wildest Dreams - R3hab Remix,10218371,9824
The Archer - Live From Paris,10187020,12880
Lover - Live From Paris,9785885,10198
peace - the long pond studio sessions,9759353,14675
mad woman - the long pond studio sessions,9673153,13505
Love Story - Digital Dog Remix,9445861,4813
betty - Live from the 2020 Academy of Country Music Awards,9410742,5305
Christmas Tree Farm (Old Timey Version),9388490,1940
"Carolina - ""Where The Crawdads Sing"" - Video Edition",9048251,7780
epiphany - the long pond studio sessions,9022626,12129
Sparks Fly - Live/2011,8732377,4362
Bette Davis Eyes - Live/2011,8024166,4459
willow - moonlit witch version,7984065,7967
Enchanted - Live/2011,7549011,4530
Christmases When You Were Mine,7208708,4759
Delicate - Sawyr And Ryan Tedder Mix,7067242,4425
You Need To Calm Down - Live From Paris,6834928,7801
The Story Of Us - Live,6815685,3695
Mean - Live/2011,6755485,3527
Mine - Live/2011,6743568,3462
ME! - Live From Paris,6717620,7521
Anti-Hero - Jayda G Remix,6669856,8573
Christmas Must Be Something More,6590338,2703
Ronan,6547737,3201
I Want You Back - Live/2011,6495888,4895
Ours - Live/2011,6378992,3280
Dear John - Live/2011,6372457,3663
Better Than Revenge - Live/2011,6315347,3986
Long Live - Live/2011,6061377,4223
White Christmas,5930450,2240
I Know Places - Voice Memo,5927118,679
Speak Now - Live/2011,5859557,3292
Last Kiss - Live/2011,5829489,3492
Haunted - Live/2011,5718478,3807
Our Song - International Mix,5603762,1169
Silent Night,5542844,2929
Blank Space - Voice Memo,4806952,667
* Big Star (with Taylor Swift) - Live,4707151,4568
I Wish You Would - Voice Memo,4526630,600
Love Story - Pop Mix,3999979,1142
"Macavity - From The Motion Picture Soundtrack ""Cats""",3306248,2363
Anti-Hero - Roosevelt Remix,3012212,5144
Lavender Haze - Tensnake Remix,2875788,5435
Love Story - Live From Clear Channel Stripped 2008,2093577,1572
You're Not Sorry - CSI Remix,2026100,1111
Lavender Haze - Jungle Remix,2011984,3989
Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,1943959,875
Beautiful Eyes - Live From Clear Channel Stripped 2008,1662742,2040
Love Story - J Stax Radio Mix,1325056,144
Fearless - Live From Clear Channel Stripped 2008,1128153,1472
Should've Said No - Live From Clear Channel Stripped 2008,724933,783
Teardrops On My Guitar - Live From Clear Channel Stripped 2008,720745,752
Picture To Burn - Live From Clear Channel Stripped 2008,692891,715
Untouchable - Live From Clear Channel Stripped 2008,687058,959
Blank Space - Karaoke Version,597136,256
Don't Blame Me - Karaoke Version,573559,405
Style - Karaoke Version,536241,372
...Ready For It? - Karaoke Version,535611,354
Look What You Made Me Do - Karaoke Version,513109,382
Change - Live From Clear Channel Stripped 2008,508411,507
Hey Stephen - Commentary,482975,252
All Too Well - Commentary,466283,267
Delicate - Karaoke Version,449993,181
Shake It Off - Karaoke Version,407609,270
I Did Something Bad - Karaoke Version,372940,158
We Are Never Ever Getting Back Together - Commentary,366121,248
I Knew You Were Trouble. - Commentary,363545,232
Getaway Car - Karaoke Version,363116,147
I Almost Do - Commentary,360378,257
State Of Grace - Commentary,354886,264
Breathe - Commentary,354144,195
Stay Stay Stay - Commentary,350209,226
22 - Commentary,343793,252
Treacherous - Commentary,339007,215
Love Story - Instrumental with BGV,331000,183
Wildest Dreams - Karaoke Version,329579,236
Call It What You Want - Karaoke Version,328903,236
Red - Commentary,327190,233
Welcome To New York - Karaoke Version,316799,121
Cruel Summer - LP Giobbi Remix - Extended Version,313897,2024
Out Of The Woods - Karaoke Version,312526,135
You Belong With Me - Commentary,312258,171
Style - Commentary,307902,175
End Game - Karaoke Version,306505,130
Love Story - Commentary,291276,155
The Last Time - Commentary,290359,218
Gorgeous - Karaoke Version,289418,115
White Horse - Commentary,287612,172
Out Of The Woods - Commentary,283412,169
Tell Me Why - Commentary,283358,163
Dancing With Our Hands Tied - Karaoke Version,282668,106
Starlight - Commentary,279546,210
Holy Ground - Commentary,277636,234
Begin Again - Commentary,276866,221
Sad Beautiful Tragic - Commentary,276508,235
Everything Has Changed - Commentary,275455,229
New Year's Day - Karaoke Version,272969,230
Blank Space - Commentary,270784,161
Welcome to New York - Commentary,270314,156
The Lucky One - Commentary,266265,214
King Of My Heart - Karaoke Version,266200,107
Shake It Off - Commentary,264743,140
Fearless - Instrumental with BGV,261838,81
You Belong With Me - Instrumental with BGV,261697,153
Enchanted - Instrumental With Background Vocals,258558,258
All You Had To Do Was Stay - Commentary,257206,150
Bad Blood - Karaoke Version,255266,107
I Knew You Were Trouble. - Karaoke Version,253893,72
This Is Why We Can't Have Nice Things - Karaoke Version,253535,113
Wildest Dreams - Commentary,252575,144
Fifteen - Commentary,251649,154
I Wish You Would - Commentary,250734,144
Fearless - Commentary,249929,146
You're Not Sorry - Commentary,247695,175
Dress - Karaoke Version,247586,97
How You Get The Girl - Commentary,245707,164
Bad Blood - Commentary,244283,158
All Too Well - Karaoke Version,238264,102
The Way I Loved You - Commentary,238253,168
Forever & Always - Commentary,229625,151
This Love - Commentary,228309,138
The Best Day - Commentary,225318,161
Change - Commentary,224406,158
I Know Places - Commentary,224164,145
All You Had To Do Was Stay - Karaoke Version,223276,90
Clean - Commentary,223051,148
So It Goes... - Karaoke Version,222779,100
Clean - Karaoke Version,213907,89
Mine - Instrumental With Background Vocals,197920,51
Red - Karaoke Version,193207,69
