song_name,total_streams,daily_streams,album_name,album_id,release_date,track_number,id,explicit,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,energy_y,danceability_y,loudness_y,speechiness_y,tempo_y,valence_y,duration_ms_y
Lavender Haze,663137866,676245,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,1,5jQI2r1RdgtuT8S3iG8zFC,TRUE,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,84,202395,0.382211538,0.749235474,0.464519753,0.0640117,0.205139858,0.066475265,0.224892548
Wildest Dreams (Taylor's Version),663084118,948865,1989 (Taylor's Version),1o59UpKw81iHR0HPiSkJR0,26/10/2023,9,1K39ty6o1sHwwlZwO6a7wK,FALSE,spotify:track:1K39ty6o1sHwwlZwO6a7wK,0.0411,0.581,0.672,9.35E-05,0.118,-7.415,0.0739,140.061,0.514,83,220433,0.665865385,0.516819572,0.65636897,0.057149286,0.511031735,0.526280919,0.258941094
We Are Never Ever Getting Back Together,647967993,242905,Red,523543fewrgQEFQ34gergerhrh,22/10/2012,8,7AEAGTc8cReDqcbPoY9gwo,FALSE,spotify:track:7AEAGTc8cReDqcbPoY9gwo,0.00957,0.628,0.676,2.65E-05,0.102,-5.911,0.0916,85.984,0.75,61,191880,0.670673077,0.588685015,0.750234039,0.077061537,0.127019408,0.786881625,0.205044425
You Belong With Me,616693427,305223,Fearless,5eyZZoQEFQ34gergerhrh,11/11/2008,6,3GCL1PydwsLodcpv0Ll1ch,FALSE,spotify:track:3GCL1PydwsLodcpv0Ll1ch,0.162,0.687,0.783,1.35E-05,0.114,-4.44,0.0386,129.964,0.443,70,231133,0.799278846,0.678899083,0.842039568,0.017437282,0.439330782,0.447879859,0.279138423
Getaway Car,612707445,834142,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,9,0VE4kBnHJUgtMf0dy6DRmW,FALSE,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,0.00465,0.562,0.689,2.23E-06,0.0888,-6.745,0.127,172.054,0.351,87,233626,0.686298077,0.487767584,0.698183861,0.116886039,0.738220862,0.346289753,0.283844213
Midnight Rain,607931087,740410,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,6,3rWDp9tBPQR9z6U5YyRSK4,FALSE,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.69,0.643,0.363,5.17E-05,0.115,-11.738,0.0767,139.865,0.23,84,174782,0.294471154,0.611620795,0.386569307,0.060299246,0.509639897,0.212676678,0.172770224
Paper Rings,603222858,621970,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,8,4y5bvROuBDPr5fuwXbIBZR,FALSE,spotify:track:4y5bvROuBDPr5fuwXbIBZR,0.0129,0.811,0.719,1.36E-05,0.0742,-6.553,0.0497,103.979,0.865,85,222400,0.722355769,0.868501529,0.710166635,0.029924626,0.254805746,0.913869258,0.262654005
You Belong With Me (Taylor's Version),582383786,1089416,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,9/04/2021,6,1qrpoAMXodY6895hGKoUpA,FALSE,spotify:track:1qrpoAMXodY6895hGKoUpA,0.0623,0.632,0.773,0,0.0885,-4.856,0.0346,130.033,0.474,86,231124,0.787259615,0.594801223,0.816076889,0.012937338,0.439820765,0.482111307,0.279121435
Bad Blood,575966694,318542,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,8,273dCMFseLcVsoSWx59IoE,FALSE,spotify:track:273dCMFseLcVsoSWx59IoE,0.0871,0.65,0.802,6.54E-06,0.148,-6.114,0.181,170.146,0.295,69,211933,0.822115385,0.622324159,0.737564751,0.17763528,0.724671746,0.284452297,0.242896486
champagne problems,566120866,684584,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,2,0sY6ZUTh4yoctD8VIXz339,TRUE,spotify:track:0sY6ZUTh4yoctD8VIXz339,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,83,244000,0.146634615,0.334862385,0.36541222,0.016424795,0.73300147,0.312058304,0.303426184
Gorgeous,563424125,462336,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,8,1ZY1PqizIl78geGM4xWlEA,FALSE,spotify:track:1ZY1PqizIl78geGM4xWlEA,0.0713,0.8,0.535,9.48E-06,0.213,-6.684,0.135,92.027,0.451,83,209680,0.501201923,0.851681957,0.701990888,0.125885926,0.169932041,0.456713781,0.238643721
the 1,532978778,614306,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,1,0Jlcvv8IykzHaSmj49uNW8,TRUE,spotify:track:0Jlcvv8IykzHaSmj49uNW8,0.757,0.777,0.357,7.28E-06,0.108,-6.942,0.0522,139.883,0.172,82,210251,0.287259615,0.816513761,0.685889035,0.032737091,0.509767719,0.148630742,0.239721541
"You're On Your Own, Kid",530146400,827580,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,5,4D7BCuvgdJlYvlX5WlN54t,FALSE,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.401,0.696,0.396,5.20E-06,0.125,-10.289,0.0656,120.041,0.38,85,194206,0.334134615,0.69266055,0.47700181,0.047811902,0.368865439,0.378312721,0.209434984
Bejeweled,487125075,730934,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,9,3qoftcUZaUOncvIYjFSPdE,FALSE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0618,0.696,0.559,5.58E-05,0.0887,-9.19,0.0693,163.999,0.433,84,194165,0.530048077,0.69266055,0.545590713,0.05197435,0.681020586,0.436837456,0.209357593
End Game,472922014,367583,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,2,2x0WlnmfG39ZuDmstl9xfX,FALSE,spotify:track:2x0WlnmfG39ZuDmstl9xfX,0.00845,0.649,0.589,0,0.108,-6.237,0.0558,159.073,0.151,82,244826,0.566105769,0.620795107,0.729888286,0.03678704,0.646040008,0.125441696,0.304985343
my tears ricochet,436873682,597892,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,5,1MgV7FIyNxIG7WzMRJV5HC,FALSE,spotify:track:1MgV7FIyNxIG7WzMRJV5HC,0.806,0.456,0.263,0,0.0749,-10.63,0.0332,129.86,0.111,82,255893,0.174278846,0.325688073,0.455719903,0.011362358,0.438592255,0.081272085,0.325875422
Maroon,427378411,427387,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,2,3eX0NZfLtGzoLUxPNvRfqm,TRUE,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0573,0.637,0.398,1.03E-06,0.101,-8.294,0.0564,108.075,0.0374,79,218270,0.336538462,0.602446483,0.601510329,0.037462032,0.283892317,0,0.254858213
I Did Something Bad,414297367,407872,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,3,4svZDCRz4cJoneBpjpx8DJ,FALSE,spotify:track:4svZDCRz4cJoneBpjpx8DJ,0.0679,0.696,0.602,2.11E-05,0.0696,-6.156,0.159,82.989,0.305,82,238253,0.581730769,0.69266055,0.734943519,0.152885589,0.105751273,0.2954947,0.292578142
Snow On The Beach (feat. Lana Del Rey),408655018,295403,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,4,1wtOxkiel43cVs0Yux5Q4h,TRUE,spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,77,256124,0.241586538,0.642201835,0.277788179,0.016199798,0.297256801,0.171819788,0.326311458
mirrorball,386362882,476260,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,6,0ZNU020wNYvgW84iljPkPP,FALSE,spotify:track:0ZNU020wNYvgW84iljPkPP,0.687,0.553,0.413,2.33E-06,0.0594,-10.037,0.0334,110.107,0.379,80,208977,0.354567308,0.474006116,0.492729202,0.011587355,0.298321983,0.377208481,0.237316738
The Way I Loved You (Taylor's Version),383442145,421266,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,9/04/2021,10,22bPsP2jCgbLUvh82U0Z3M,FALSE,spotify:track:22bPsP2jCgbLUvh82U0Z3M,0.0033,0.402,0.732,0,0.108,-4.665,0.0484,161.032,0.472,82,243136,0.737980769,0.243119266,0.827997254,0.028462144,0.659951286,0.479902827,0.301795297
Back To December,380312883,184155,Speak Now,34htrbhergrgerhrh,25/10/2010,3,3DrjZArsPsoqbLzUZZV1Id,FALSE,spotify:track:3DrjZArsPsoqbLzUZZV1Id,0.117,0.529,0.67,0,0.334,-4.663,0.0303,141.893,0.286,63,293026,0.663461538,0.437308869,0.828122075,0.008099899,0.524041159,0.274514134,0.395967707
22,377102967,159745,Red,523543fewrgQEFQ34gergerhrh,22/10/2012,6,2ULNeSomDxVNmdDy8VxEBU,FALSE,spotify:track:2ULNeSomDxVNmdDy8VxEBU,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,53,230133,0.734375,0.634556575,0.709667353,0.016537293,0.25500458,0.696333922,0.277250823
Call It What You Want,376542614,404739,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,14,1GwMQaZz6Au3QLDbjbMdme,FALSE,spotify:track:1GwMQaZz6Au3QLDbjbMdme,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,81,203506,0.463942308,0.542813456,0.502902078,0.056249297,0.680701032,0.236969965,0.226989673
illicit affairs,366136480,723898,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,10,2NmsngXHeC1GQ9wWrzhOMf,FALSE,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,0.881,0.559,0.31,0,0.106,-10.445,0.0338,119.845,0.46,83,190898,0.230769231,0.483180428,0.467265805,0.01203735,0.367473601,0.466651943,0.203190801
Vigilante Shit,364960734,456152,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,8,1xwAWUI6Dj0WGC3KiUPN0O,TRUE,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.173,0.798,0.277,5.25E-05,0.121,-11.096,0.39,79.846,0.163,80,164801,0.191105769,0.848623853,0.42663671,0.412757341,0.083432159,0.13869258,0.153930079
The Archer,363061555,573875,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,5,3pHkh7d0lzM2AldUtz2x37,FALSE,spotify:track:3pHkh7d0lzM2AldUtz2x37,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,84,211240,0.548076923,0.074923547,0.534044811,0.019124761,0.399421961,0.1420053,0.241588378
this is me trying,359914779,469406,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,9,7kt9e9LFSpN1zQtYEl19o1,FALSE,spotify:track:7kt9e9LFSpN1zQtYEl19o1,0.314,0.515,0.476,4.74E-05,0.171,-9.843,0.0328,135.886,0.412,80,195097,0.430288462,0.415902141,0.504836797,0.010912364,0.481384169,0.41364841,0.211116837
Afterglow,354618680,394428,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,15,1SymEzIT3H8UZfibCs3TYi,FALSE,spotify:track:1SymEzIT3H8UZfibCs3TYi,0.13,0.756,0.449,0,0.114,-8.746,0.0344,111.011,0.399,81,223293,0.397836538,0.78440367,0.57330088,0.012712341,0.30474148,0.399293286,0.264339632
Daylight,348230288,653698,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,18,1fzAuUVbzlhZ1lJAx9PtY6,FALSE,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,0.265,85,293453,0.454326923,0.480122324,0.519877676,0.037349533,0.581489977,0.251325088,0.396773713
Mr. Perfectly Fine (Taylor's Version) (From The Vault),347750646,330996,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,9/04/2021,22,2CYVETnhM9aytqrazYYwrK,FALSE,spotify:track:2CYVETnhM9aytqrazYYwrK,0.162,0.66,0.817,0,0.0667,-6.269,0.0521,135.942,0.714,77,277591,0.840144231,0.637614679,0.727891156,0.032624592,0.481781837,0.747128975,0.366832587
invisible string,337521653,422135,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,11,6VsvKPJ4xjVNKpI8VVZ3SV,FALSE,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,0.838,0.653,0.452,7.73E-05,0.108,-11.143,0.055,83.433,0.45,80,252880,0.401442308,0.626911315,0.423703426,0.035887051,0.108904212,0.455609541,0.320188081
the last great american dynasty,337253895,396289,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,3,2Eeur20xVqfUoM3Q7EFPFt,TRUE,spotify:track:2Eeur20xVqfUoM3Q7EFPFt,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,0.706,78,230999,0.653846154,0.677370031,0.588341759,0.020474744,0.566854375,0.738295053,0.278885485
Miss Americana & The Heartbreak Prince,335903562,606968,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,7,214nt20w5wOxJnY462klLw,FALSE,spotify:track:214nt20w5wOxJnY462klLw,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,0.487,84,234146,0.756009615,0.640672783,0.686887599,0.05681179,0.582235604,0.496466431,0.284825765
betty,326877029,379305,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,14,5kI4eCXXzyuIUXjQra0Cxi,TRUE,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,0.502,78,294521,0.311298077,0.535168196,0.572364726,0.002474969,0.197711989,0.513030035,0.39878967
I Forgot That You Existed,322314040,206544,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,1,43rA71bccXFGD4C8GOpIlN,FALSE,spotify:track:43rA71bccXFGD4C8GOpIlN,0.298,0.664,0.316,2.03E-06,0.0812,-10.345,0.519,92.875,0.541,77,170640,0.237980769,0.643730887,0.473506834,0.557880526,0.175953871,0.556095406,0.164951781
Is It Over Now? (Taylor's Version) (From The Vault),322011997,1642019,1989 (Taylor's Version),1o59UpKw81iHR0HPiSkJR0,26/10/2023,21,1Iq8oo9XkmmvCQiGOfORiz,FALSE,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,0.0504,0.596,0.658,0,0.127,-7.346,0.036,100.012,0.176,91,229477,0.649038462,0.539755352,0.660675279,0.014512319,0.226635232,0.153047703,0.276012556
Out Of The Woods,318286637,84383,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,4,5OndtwLGA9O6XHFcGm2H7r,FALSE,spotify:track:5OndtwLGA9O6XHFcGm2H7r,0.00103,0.552,0.842,1.17E-05,0.337,-6.938,0.0373,91.991,0.343,62,235800,0.870192308,0.472477064,0.686138676,0.0159748,0.169676398,0.33745583,0.287947857
Our Song,316957187,322409,Taylor Swift,5eyZZoQEFQWRHkV2xgAeBw,24/10/2006,11,15DeqWWQB4dcEWzJg15VrN,FALSE,spotify:track:15DeqWWQB4dcEWzJg15VrN,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,0.539,76,201106,0.665865385,0.649847095,0.811396118,0.008099899,0.148514781,0.553886926,0.222459431
Mastermind,314717149,413267,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,13,7FmYn9e7KHMXcxqGSj9LjH,FALSE,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,78,191039,0.287259615,0.640672783,0.241402983,0.147260659,0.41094013,0.095627208,0.203456952
I Knew You Were Trouble (Taylor's Version),312442924,557204,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,4,6AtZLIzUINvExIUy4QhdjP,FALSE,spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0,0.0576,-6.371,0.0342,154.008,0.767,81,219760,0.527644231,0.521406728,0.721525307,0.012487344,0.610072361,0.80565371,0.257670738
London Boy,307303411,309778,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,11,1LLXZFeAHK9R4xUramtUKw,FALSE,spotify:track:1LLXZFeAHK9R4xUramtUKw,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,0.557,80,190240,0.711538462,0.691131498,0.704799351,0.030262122,0.637887815,0.573763251,0.201948759
Cornelia Street,307114203,337259,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,9,12M5uqx0ZuwkpLp5rJim1a,FALSE,spotify:track:12M5uqx0ZuwkpLp5rJim1a,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,0.248,80,287266,0.608173077,0.888379205,0.51201398,0.067049162,0.240837659,0.232553004,0.385095126
right where you left me - bonus track,299796984,481806,evermore,6AORtDjduMM3bupSWzbTSG,7/01/2021,16,3zwMVvkBe2qIKDObWgXw4N,FALSE,spotify:track:3zwMVvkBe2qIKDObWgXw4N,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,0.645,83,245026,0.602163462,0.516819572,0.711976534,0.005737428,0.495792531,0.670936396,0.305362863
Dress,297195344,448885,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,12,6oVxXO5oQ4pTpO8RSnkzvv,FALSE,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,0.0329,0.719,0.469,0,0.169,-8.792,0.0533,120.085,0.0851,81,230373,0.421875,0.727828746,0.570430007,0.033974575,0.369177893,0.052672261,0.277703847
